nome	data	materiale	locus	description	url	gulpease	flesch_reading_ease	description_lemmatized	count_FO_description
rilievo (elemento d'insieme)	post 1690-ante 1710	legno/ scultura/ intaglio/ doratura/ pittura	Biella (BI)	Nel campo sono scolpiti, in primo piano, sui due lati, stanti, con lo sguardo sorpreso, due soldati. Entrambi indossa una lorica e tengono in mano una lancia. Quello di sinistra, barbato, è a capo scoperto e porta un mantello, e appare sbilanciato; quello di destra, con i baffi, porta un elmo piumato. Al centro, fuorisce con un movimento di gambe accavallate, dal sarcofago scoperchiato e scorciato, il Cristo. Il capo, rivolto verso l'osservatore, con lunghi capelli e scriminatura centrale è barbato; indossa un lenzuolo bianco, panneggiato che gli avvolge il corpo lasciando parzialmente scoperto il busto; è circondato, in corrispondenza delle gambe, da nuvole a ricciolo; una mano è sollevata in atto di indicare verso l'alto e nell'altra tiene un vessillo crociato. Cornice di luce e profilo ovale, parzialmente dorata nella fascia più interna. Battuta liscia; tipologia a gola; doppia fascia modinata	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011774-11	49.7	62.57	in il campo essere scolpire , in primo piano , su il due lato , stante , con il sguardo sorpreso , due soldato . entrambi indossare uno lorico e tenere in mano uno lancia . quello di sinistra , barbato , essere a capo scoperto e portare uno mantello , e apparire sbilanciato ; quello di destra , con il baffo , portare uno elmo piumato . a il centro , fuorire con uno movimento di gamba accavallato , da il sarcofago scoperchiare e scorciare , il cristo . il capo , rivolgere verso il osservatore , con lungo capello e scriminatura centrale essere barbato ; indossare uno lenzuolo bianco , panneggiare che lo avvolgere il corpo lasciare parzialmente scoprire il busto ; essere circondare , in corrispondenza di il gamba , da nuvola a ricciolo ; uno mano essere sollevare in atto di indicare verso il alto e in il altro tenere uno vessillo crociato . cornice di luce e profilo ovale , parzialmente dorato in il fascia più interno . battuta liscio ; tipologia a gola ; doppio fascia modinato	58
rilievo (elemento d'insieme)	post 1690-ante 1710	legno/ scultura/ intaglio/ doratura/ pittura	Biella (BI)	Nel campo sono scolpiti, in primo piano, sei figure di astanti, disposte fittamente e, al centro, la Vergine, disposte parallelamente. L'ultima figura a destra è scorciata ed è alzata, con una torsione del busto verso sinistra. e tende a fornire un effetto di profondità. Al centro, in alto entro una cornice di nubi raggiata, la colomba dello Spirito Santo. La Vergine ha lo sguardo rivolto verso l'alto e le mani giunte in preghiera; indossa una tunica fermata in vita e un velo che funge anche da mantello; sul capo degli apostoli è intagliata una fiammella. I colori delle vesti sono: marrone, giallo, rosso rosato, celeste e blu cenere. Cornice di luce e profilo ovale, parzialmente dorata nella fascia più interna. Battuta liscia; tipologia a gola; doppia fascia modinata	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011774-13	57.0	72.9	in il campo essere scolpire , in primo piano , sei figura di astanto , disporre fittamente e , a il centro , il vergine , disporre parallelamente . il ultimo figura a destra essere scorciare e essere alzare , con uno torsione di il busto verso sinistra . e tendere a fornire uno effetto di profondità . a il centro , in alto entro uno cornice di nubi raggiato , il colomba di il spirito santo . il vergine avere il sguardo rivolgere verso il alto e il mano giunre in preghiera ; indossare uno tunico fermare in vita e uno velo che fungere anche da mantello ; su il capo di il apostolo essere intagliare uno fiammella . il colore di il veste essere : marrone , giallo , rosso rosato , celeste e blu cenere . cornice di luce e profilo ovale , parzialmente dorato in il fascia più interno . battuta liscio ; tipologia a gola ; doppio fascia modinato	54
rilievo (elemento d'insieme)	post 1690-ante 1710	legno/ scultura/ intaglio/ doratura/ pittura	Biella (BI)	Nel campo, delimitato da una corona di nuvole a riccio nella parte bassa, sono scolpiti, in primo piano, ai due margini del pannello, a sinistra. Gesù Cristo, con capo barbato, lunghi capelli con scriminatura centrale, torso nudo, parzialmente coperto da un lenzuolo bianco e croce in una mano con l'altra regge, insieme a Dio Padre una corona aperta da porre sul capo della Vergine. Il primo, canuto e barbato, indossa tunica con maniche lunghe e mantello, fittamente panneggiati. Con una mano tiene lo scettro, e sulle ginocchia poggia il globo crociato. Dietro alla testa un triangolo dorato. Al centro, più piccola, come se fosse in secondo piano, inginocchiata con le mani giunte, si trova la figura della Vergine; indossa una tunica rosa, fermata in vita, e un velo celeste che funge anche da mantello. I colori bianchi, rosa, celeste e blu sono piuttosto appiattiti. Battuta liscia; tipologia a gola; doppia fascia modinata	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011774-15	53.5	69.12	in il campo , delimitare da uno corona di nuvola a riccio in il parte basso , essere scolpire , in primo piano , a il due margine di il pannello , a sinistra . Gesù cristo , con capo barbato , lungo capello con scriminatura centrale , torso nudo , parzialmente coprire da uno lenzuolo bianco e croce in uno mano con il altro reggere , insieme a Dio padre uno corona aperto da porre su il capo di il vergine . il primo , canuto e barbato , indossare tunico con manica lungo e mantello , fittamente panneggiato . con uno mano tenere il scettro , e su il ginocchio poggiare il globo crociato . dietro a il testa uno triangolo dorato . a il centro , più piccolo , come se essere in secondo piano , inginocchiare con il mano giunto , si trovare il figura di il vergine ; indossare uno tunico rosa , fermare in vita , e uno velo celeste che fungere anche da mantello . il colore bianco , rosa , celeste e blu essere piuttosto appiattire . battuta liscio ; tipologia a gola ; doppio fascia modinato	61
rilievo (elemento d'insieme)	post 1690-ante 1710	legno/ scultura/ intaglio/ doratura/ pittura	Biella (BI)	Nel campo sono scolpite, al centro, in primo piano, la Madonna inginocchiata con Gesù Bambino in braccio. Dietro di loro, in secondo piano, stante, s. Giuseppe che li osserva; con una mano tiene un bastone e con l'altra un cesto entro il quale vi sono delle colombe. La Vergine indossa tunica girocollo, fermata in vita, e velo sul capo che funge anche da mantello, scendendo sino alle ginocchia. S. Giuseppe, barbato e canuto, porta ampia tunica e mantello. Sulla destra, scorciato, è rappresentato un altare a forma di parallelepipedo, sul quale poggia un candelabro e davanti a esso un sacerdote canuto e barbato con veste rossa, ornata di grossi fiocchi lungo l'orlo, ha un braccio sollevato, in segno di accoglienza e benedizione. I colori blu e gialli delle vesti di s. Giuseoppe. rossa e blu della Vergine e bianca e rossa del sacerdote, come il fondo che va dal bluastro al rosato sono secchi, senza valorizzare il modellato. Cornice di luce e profilo ovale, parzialmente dorata nella fascia più interna. Battuta liscia; tipologia a gola; doppia fascia modinata	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011774-4	55.7	71.52	in il campo essere scolpire , a il centro , in primo piano , il madonna inginocchiato con Gesù bambino in braccio . dietro di loro , in secondo piano , stante , S. Giuseppe che li osservare ; con uno mano tenere uno bastone e con il altro uno cesto entro il quale vi essere di colomba . il vergine indossare tunico girocollo , fermare in vita , e velo su il capo che fungere anche da mantello , scendere sino a il ginocchio . S. Giuseppe , barbato e canuto , portare ampio tunico e mantello . su il destra , scorciare , essere rappresentare uno altare a forma di parallelepipedo , su il quale poggiare uno candelabro e davanti a esso uno sacerdote canuto e barbato con veste rosso , ornare di grosso fiocco lungo il orlo , avere uno braccio sollevato , in segno di accoglienza e benedizione . il colore blu e giallo di il veste di s. giuseoppe . rosso e blu di il vergine e bianco e rosso di il sacerdote , come il fondo che andare da il bluastro a il rosato essere secco , senza valorizzare il modellato . cornice di luce e profilo ovale , parzialmente dorato in il fascia più interno . battuta liscio ; tipologia a gola ; doppio fascia modinato	68
rilievo (elemento d'insieme)	post 1690-ante 1710	legno/ scultura/ intaglio/ doratura/ pittura	Biella (BI)	Nel campo sono scolpite, in primo piano, sui due lati, due figure. A sinistra, l'angelo, con ali e calice dorati, inodssa una veste con panneggio fortemente articolato ed è accompagnato, sulla destra, da una bordura di nuvole a ricci. Sulla destra, su rocce, è seduto il Cristo. Il capo con lunghi capelli e scriminatura centrale è barbato, indossa ampia tunica con largo scollo e manto, riccamente drappeggiato. Dietro la figura e ai suoi piedi, una serie di tagli di cui la ridipintura non permette una corretta lettura. In alto vi è una bordura di nuvole a ricci in mezzo ai quali è inserito un tondo con occhi, naso e bocca, raffigurante la luna. I colori dominanti sono blu e grigi, il Cristo ha la veste rossa. Cornice di luce e profilo ovale, parzialmente dorata nella fascia più interna. Battuta liscia; tipologia a gola; doppia fascia modinata	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011774-6	59.1	76.78	in il campo essere scolpire , in primo piano , su il due lato , due figura . a sinistra , il angelo , con ala e calice dorato , inodssa uno veste con panneggio fortemente articolato e essere accompagnare , su il destra , da uno bordura di nuvola a riccio . su il destra , su roccia , essere sedere il cristo . il capo con lungo capello e scriminatura centrale essere barbato , indossare ampio tunica con largo scollo e manto , riccamente drappeggiare . dietro il figura e a il suo piede , uno serie di taglio di cui il ridipintura non permettere uno corretto lettura . in alto vi essere uno bordura di nuvola a riccio in mezzo a il quale essere inserire uno tondo con occhio , naso e bocca , raffigurare il luna . il colore dominante essere blu e grigio , il cristo avere il veste rosso . cornice di luce e profilo ovale , parzialmente dorato in il fascia più interno . battuta liscio ; tipologia a gola ; doppio fascia modinato	62
rilievo (elemento d'insieme)	post 1690-ante 1710	legno/ scultura/ intaglio/ doratura/ pittura	Biella (BI)	Nel campo sono scolpite, in primo piano, sui due lati, due figure maschili sorridenti, con baffi, una delle quali tiene in mano un bastone. Quello di destra indossa una lorica ed elmo piumato; quello di sinistra porta una sorta di tunica con calzoni e maniche rimboccati; i piedi sono scalzi. Al centro, seduto su uno sgabello, con in mano un ramo di palma, è rappresentato, con il volto chinato, il Cristo. Il capo con lunghi capelli e scriminatura centrale è barbato, e porta una corona di spine; indossa un mantello che gli copre le spalle e le gambe, drappeggiato. Il fondo è lilla; le finestre sono celesti, le vesti verdi, rosse e azzurre, rese in modo secco, senza evidenziare il modellato. Cornice di luce e profilo ovale, parzialmente dorata nella fascia più interna. Battuta liscia; tipologia a gola; doppia fascia modinata	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011774-8	54.7	72.13	in il campo essere scolpire , in primo piano , su il due lato , due figura maschile sorridente , con baffo , uno di il quale tenere in mano uno bastone . quello di destra indossare uno lorico e elmo piumato ; quello di sinistra portare uno sorta di tunico con calzone e manica rimboccato ; il piede essere scalzi . a il centro , sedere su uno sgabello , con in mano uno ramo di palma , essere rappresentare , con il volto chinato , il cristo . il capo con lungo capello e scriminatura centrale essere barbato , e portare uno corona di spina ; indossare uno mantello che gli coprire il spalla e il gamba , drappeggiare . il fondo essere lilla ; il finestra essere celesta , il veste verde , rosso e azzurro , rendere in modo secco , senza evidenziare il modellato . cornice di luce e profilo ovale , parzialmente dorato in il fascia più interno . battuta liscio ; tipologia a gola ; doppio fascia modinato	58
dipinto (elemento d'insieme)	post 1540-ante 1586	tavola/ pittura a olio	Biella (BI)	La scena si sviluppa su due tavolette accostate. Sulla destra è rappresentato un giovane sacerdote officiante la messa di fronte a una statua di santo vescovo benedicente. L'officiante è assistito da un chierichetto. Una figura di bimbo e un anziano sono inginocchiati a destra. La scena si svolge in un interno illuminato da due finestre. L'ambiente è reso in toni marroni (marrone è anche il piviale dell'officiante) in cui risaltano i bianchi. Le vesti dei due personaggi a destra sono invece a vivaci colori di giallo e blu con tocchi di rosso	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011790-2	62.3	76.73	il scena si sviluppare su due tavoletta accostato . su il destra essere rappresentare uno giovane sacerdote officiante il messa di fronte a uno statua di santo vescovo benedicente . il officiante essere assistere da uno chierichetto . uno figura di bimbo e uno anziano essere inginocchiato a destra . il scena si svolgere in uno interno illuminare da due finestra . il ambiente essere rendere in tono marrone ( marrone essere anche il piviale di il officiante ) in cui risaltare il bianco . il veste di il due personaggio a destra essere invece a vivace colore di giallo e blu con tocco di Rosso	36
dipinto (elemento d'insieme)	post 1540-ante 1586	tavola/ pittura a olio	Biella (BI)	L'episodio è dipinto su un'unica tavoletta e si svolge in una piazza delimitata, a sinistra, da un edificio con balconata dai due lati. Al fondo della piazza è collocata una fontana, quindi una serie di archi e si intravede il profilo di un castello merlato. Sulla destra una prospettiva d'infilata di case da cui accorrono due figure. Al centro si svolge una scena di violenza: un uomo vestito in viola e verde (il medesimo che appariva sulla soglia della porta nella scena precedente) assale il bimbo e lo deruba del pane. Le architetture della piazza sono nei toni di marrone chiaro	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011790-4	55.8	71.34	il episodio essere dipingere su uno unico tavoletta e si svolgere in uno piazza delimitato , a sinistra , da uno edificio con balconata da il due lato . a il fondo di il piazza essere collocare uno fontana , quindi uno serie di arco e si intravedere il profilo di uno castello merlato . su il destra uno prospettiva di infilare di casa da cui accorrere due figura . a il centro si svolgere uno scena di violenza : uno uomo vestire in viola e verde ( il medesimo che apparire su il soglia di il porta in il scena precedente ) assalire il bimbo e lo deruba di il pane . il architettura di il piazza essere in il tono di marrone chiaro	45
dipinto (elemento d'insieme)	post 1497-ante 1497	tavola/ pittura a olio	Biella (BI)	Al centro è dipinta la Madonna con in braccio il Bambino seduta su un trono di pietra terminante con un timpano triangolare dal quale si affaccia Dio Padre e sopraelevato da un gradino. Una cortina delimita lo schienale. La Vergine è rappresentata di tre quarti, rivolta verso destra. Porta i capelli lunghi coperti da un velo con motivo a rade bande; indossa una veste con strette maniche, ornata da piccoli motivi floreali e un manto, chiuso sotto al gola, di colore blu con infiorescenze realizzate a stampino dorate; un bordo a losanghe profila il tessuto. Sul capo aureola dorata. Il Bambino è nudo, coperto da un lenzuolo e sedie su un cuscino. Al collo porta un rametto di corallo; il capo è aureolato. Si sporge sia con il busto che con il braccio verso la porzione destra del trittico ove è raffigurato, di profilo, inginocchiato, Giacomo Pozzo. Questi porta i capelli lunghi alle spalle con scriminatura centrale ed è coperto da una cappa scura; con una mano tiene il cappello in segno di deferenza. Dietro di lui stante, con lo sguardo rivolto verso l'osservatore, s. Gottardo, barbato e canuto, in abiti vescovili. Sul capo porta una ricca tiara; sopra il camice bianco vi è un ricco piviale marrone, chiuso da fermaglio. Le mani sono guantate: [continua nel campo Osservazioni]	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011801-1	57.9	75.16	a il centro essere dipingere il Madonna con in braccio il bambino sedere su uno trono di pietra terminante con uno timpano triangolare da il quale si affacciare dio padre e sopraelevato da uno gradino . uno cortina delimitare il schienale . il vergine essere rappresentare di tre quarto , rivolgere verso destra . portare il capello lungo coprire da uno velo con motivo a rade banda ; indossare uno veste con stretto manica , ornare da piccolo motivo floreale e uno manto , chiudere sotto a il gola , di colore blu con infiorescenza realizzare a stampino dorato ; uno bordo a losanga profilare il tessuto . su il capo aureolo dorato . il bambino essere nudo , coprire da uno lenzuolo e sedia su uno cuscino . a il collo portare uno rametto di corallo ; il capo essere aureolare . si sporgere sia con il busto che con il braccio verso il porzione destro di il trittico ove essere raffigurare , di profilo , inginocchiare , giacomo pozzo . questo portare il capello lungo a il spalla con scriminatura centrale e essere coprire da uno cappa scuro ; con uno mano tenere il cappello in segno di deferenza . dietro di lui stante , con il sguardo rivolgere verso il osservatore , S. Gottardo , barbato e canuto , in abito vescovile . su il capo portare uno ricco tiara ; sopra il camice bianco vi essere uno ricco piviale marrone , chiudere da fermaglio . il mano essere guantare : [ continuare in il campo osservazione ]	65
dipinto (elemento d'insieme)	post 1497-ante 1497	tavola/ pittura a olio	Biella (BI)	In primo piano, al centro, uscente dal sacello a forma di parallelepipedo, è dipinto Cristo. Il capo è reclinato verso sinistra; gli occhi sono socchiusi e la bocca semiaperta. Porta i capelli lunghi, con scriminatura centrale e sulla fronte poggia la corona di spine. Il busto è nudo, sottolineato nelle scavate anatomie, coperto del solo perizoma annodato sul davanti. Un braccio poggia sulle spalle della Vergine, a sinistra. Il capo, aureolato, è coperto da un velo che funge anche da mantello, chiuso sotto la gola e ornato da gigli stilizzati e stelle. Al di sotto una tunica fermata in vita. L'altro braccio è parzialmente sollevato da s. Giovanni evangelista che volge lo sguardo al Cristo e solleva una mano per sostenerlo. Porta i capelli chiari, lunghi sino alle spalle, con scriminatura centrale. Il capo è aureolato. Indossa una tunica panneggiata e un mantello chiuso da fermaglio sotto la gola. Dietro il gruppo, in secono piano è accenata la croce con cartiglio	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011801-3	62.5	76.8	in primo piano , a il centro , uscente da il sacello a forma di parallelepipedo , essere dipingere cristo . il capo essere reclinare verso sinistra ; il occhio essere socchiudere e il bocca semiaperto . portare il capello lungo , con scriminatura centrale e su il fronte poggiare il corona di spina . il busto essere nudo , sottolineare in il scavare anatomia , coperto di il solo perizoma annodare su il davanti . uno braccio poggiare su il spalla di il vergine , a sinistra . il capo , aureolato , essere coprire da uno velo che fungere anche da mantello , chiudere sotto il gola e ornare da giglio stilizzato e stella . a il di sotto uno tunico fermare in vita . il altro braccio essere parzialmente sollevare da S. giovanni evangelista che volgere il sguardo a il cristo e sollevare uno mano per sostenere lo . portare il capello chiaro , lungo sino a il spalla , con scriminatura centrale . il capo essere aureolare . indossare uno tunico panneggiata e uno mantello chiuso da fermaglio sotto il gola . dietro il gruppo , in seconoe piano essere accenare il croce con cartiglio	55
pianeta (elemento d'insieme)	post 1784-ante 1784	argento lamellare/ trama broccata seta/ laminata in argento filo d'argento/ trama broccata seta/ broccata in seta filo dorato/ lavorazione a telaio seta/ tessuto/ broccatura	Biella (BI)	La pianeta è costituita da due stoffe, la colonna è in seta lamina e broccata in argento con un motivo a mazzi di fiori disposti per file alternate trattenuti da nastri; il rimanente è in seta di colore crema con trame broccate in filodi seta rosa e lilla e d'argento e filo d'argento lamellare che definiscono un disegno a coppie di rametti fioriti disposti, alternativamente a V, sviluppandosi da una coroncina, e a V rovesciata. Un gallone in filo dorato e filo dorato lamellare, di due diverse altezze, profila la pianeta e la colonna	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011808-1	48.0	30.8	il pianeta essere costituire da due stoffa , il colonna essere in seta lamina e broccare in argento con uno motivo a mazzo di fiore disposto per fila alternato trattenuti da nastro ; il rimanente essere in seta di colore cremare con trama broccato in filode seta rosa e lilla e di argento e filo di argento lamellare che definire uno disegno a coppia di rametto fiorito disposto , alternativamente a v , sviluppare si da uno coroncina , e a v rovesciato . uno gallone in filo dorato e filo dorato lamellare , di due diverso altezza , profilare il pianeta e il colonna	30
tunicella (serie)	post 1784-ante 1784	argento lamellare/ trama broccata seta/ laminata in argento filo d'argento/ trama broccata seta/ broccata in seta filo dorato/ lavorazione a telaio seta/ tessuto/ broccatura	Biella (BI)	La tunicella è costituita da due stoffe, la parte centrale sia della faccia anteriore che posteriore e parte delle maniche è in seta lamina e broccata in argento con un motivo a mazzi di fiori disposti per file alternate trattenuti da nastri; il rimanente è in seta di colore crema con trame broccate in filodi seta rosa e lilla e d'argento e filo d'argento lamellare che definiscono un disegno a coppie di rametti fioriti disposti, alternativamente a V, sviluppandosi da una coroncina, e a V rovesciata. Un gallone in filo dorato e filo dorato lamellare, di due diverse altezze, profila il manufatto	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011808-2	46.0	23.08	il tunicella essere costituire da due stoffa , il parte centrale sia di il faccia anteriore che posteriore e parte di il manica essere in seta lamina e broccare in argento con uno motivo a mazzo di fiore disposto per fila alternato trattenuti da nastro ; il rimanente essere in seta di colore cremare con trama broccato in filode seta rosa e lilla e di argento e filo di argento lamellare che definire uno disegno a coppia di rametto fiorito disposto , alternativamente a v , sviluppare si da uno coroncina , e a v rovesciato . uno gallone in filo dorato e filo dorato lamellare , di due diverso altezza , profilare il manufatto	32
pianeta (elemento d'insieme)	post 1735-ante 1745	seta/ gros de Tours filo d'argento/ lavorazione a telaio/ lamellatura filo di seta	Biella (BI)	Unico tessuto gros de Tours color crema con motivo decorativo in vari toni di seta viola. Galloni di due diverse altezze con motivo decorativo geometrizzante in argento filato e lamellare. Il disegno è formato dalla ripetizione di un unico motivo di struttura complessa e movimentata raffigurante un insieme di frutta che fuoriesce da una sorta di cornucopia con andamento diagonale, formata da una valva di conchiglia, da un elemento architettonico a mensola profilata da voluta a ricciolo, con piccolo paesaggio inserito comprendente alberi, un profilo di facciata di edificio, in secondo piano alcune montagne, palme e un uccello in volo, al sommo del quale è un vaso-urna con ciuffo d'alberi e sulla sinistra un pavone e una ghirlanda di fiori che pende dall'angolo sinistro	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011813-1	43.4	31.67	unico tessuto gros de tours color cremare con motivo decorativo in vario tone di seta violare . gallono di due diverso altezza con motivo decorativo geometrizzante in argento filato e lamellare . il disegno essere formare da il ripetizione di uno unico motivo di struttura complesso e movimentare raffigurare uno insieme di frutta che fuoriere da uno sorta di cornucopia con andamento diagonale , formare da uno valva di conchiglia , da uno elemento architettonico a mensola profilare da volere a ricciolo , con piccolo paesaggio inserire comprendente albero , uno profilo di facciata di edificio , in secondo piano alcuno montagna , palma e uno uccello in volo , a il sommo di il quale essere uno vaso - urna con ciuffo di albero e su il sinistra uno pavone e uno ghirlanda di fiore che pendere da il angolo sinistro	45
piviale (elemento d'insieme)	post 1735-ante 1745	seta/ operata filo metallico seta/ gros de Tours filo di seta filo/ lavorazione a telaio	Biella (BI)	Il manto è in tessuto gros de Tours color crema con motivo decorativo in vari toni di seta viola. Il disegno è formato dalla ripetizione di un unico motivo di struttura complessa e movimentata raffigurante un insieme di frutta che fuoriesce da una sorta di cornucopia con andamento diagonale, formata da una valva di conchiglia, da un elemento architettonico a mensola profilata da voluta a ricciolo, con piccolo paesaggio inserito comprendente alberi, un profilo di facciata di edificio, in secondo piano alcune montagne, palme e un uccello in volo, al sommo del quale è un vaso-urna con ciuffo d'alberi e sulla sinistra un pavone e una ghirlanda di fiori che pende dall'angolo sinistro. Lo scudo e lo stolone sono realizzati in un altro tessuto in seta operata in sete policrome su fondo crema con disegno formato da quattro tralci ondulati convergenti al centro, che formano specchiature ornate, nella parte superiore, da una composizione floreale strutturata a piramide. I tralci sono verdi, le grandi rose sono rosse e rosa, lilla e celeste i fiori più piccoli, fra cui si distinguono i garofani. Galloni di unica altezza con motivo decorativo a pampini e grappoli d'uva stilizzati	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011813-3	45.5	38.52	il manto essere in tessuto gros de tours color cremare con motivo decorativo in vario tone di seta violare . il disegno essere formare da il ripetizione di uno unico motivo di struttura complesso e movimentare raffigurare uno insieme di frutta che fuoriere da uno sorta di cornucopia con andamento diagonale , formare da uno valva di conchiglia , da uno elemento architettonico a mensola profilare da volere a ricciolo , con piccolo paesaggio inserire comprendente albero , uno profilo di facciata di edificio , in secondo piano alcuno montagna , palma e uno uccello in volo , a il sommo di il quale essere uno vaso - urna con ciuffo di albero e su il sinistra uno pavone e uno ghirlanda di fiore che pendere da il angolo sinistro . il scudo e il stolone essere realizzare in uno altro tessuto in seta operare in sete policrome su fondo cremare con disegno formare da quattro tralco ondulato convergere a il centro , che formare specchiatura ornato , in il parte superiore , da uno composizione floreale strutturare a piramide . il tralco essere verde , il grande rosa essere rosso e rosa , lilla e celeste il fiore più piccolo , fra cui si distinguere il garofano . gallono di unico altezza con motivo decorativo a pampino e grappolo di uva stilizzato	60
velo di calice (elemento d'insieme)	post 1735-ante 1745	filo d'argento/ lavorazione a telaio filo di seta/ trama lanciata seta/ operata	Biella (BI)	Seta operata in sete policrome su fondo crema con disegno formato da quattro tralci ondulati convergenti al centro, che formano specchiature ornate, nella parte superiore, da una composizione floreale strutturata a piramide. I tralci sono verdi, le grandi rose sono rosse e rosa, lilla e celeste i fiori più piccoli, fra cui si distinguono i garofani. Galloni di unica altezza con motivo decorativo geometrizzante in argento filato	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011813-4	48.0	51.87	seta operare in sete policrome su fondo cremare con disegno formare da quattro tralco ondulato convergere a il centro , che formare specchiatura ornato , in il parte superiore , da uno composizione floreale strutturare a piramide . il tralco essere verde , il grande rosa essere rosso e rosa , lilla e celeste il fiore più piccolo , fra cui si distinguere il garofano . gallono di unico altezza con motivo decorativo geometrizzante in argento filato	34
pianeta (elemento d'insieme)	post 1750-ante 1799	seta/ tessuto/ broccatura filo di seta/ trama broccata seta/ marezzatura seta/ laminata seta/ broccata in argento filo d'argento/ lavorazione a fuselli/ lamellatura filo dorato filo d'oro/ merletto a fuselli o tombolo seta/ broccata in oro	Biella (BI)	La pianeta è composta da due tessuti. Il primo è una seta laminata in argento con effetti marezzati, impiegato per la colonna. Il secondo, utilizzato per le rimanenti parti è una seta con trame broccate su fondo crema che descrivono un motivo a grandi maglie ovali, naturalisticamente irregolari, formati da tralcetti, costituiti da motivi a puntini o a bastoncini, di foglie verdi e di, alternativamente, margherite e tulipani stilizzati, e comprendenti, all'interno, un fiore di peonia o di rosa in filo dorato e d'argento. Galloni di uniforme altezza in filo dorato a imitazione del pizzo	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011819-1	49.3	53.4	il pianeta essere comporre da due tessuto . il primo essere uno seta laminare in argento con effetto marezzato , impiegare per il colonna . il secondo , utilizzare per il rimanenti parte essere uno seta con trama broccato su fondo crema che descrivere uno motivo a grande maglia ovale , naturalisticamente irregolare , formare da tralcetti , costituire da motivo a puntino o a bastoncino , di foglia verde e di , alternativamente , margherita e tulipano stilizzato , e comprendente , a il interno , uno fiore di peonia o di rosa in filo dorato e di argento . gallono di uniforme altezza in filo dorato a imitazione di il pizzo	38
tunicella (coppia)	post 1750-ante 1799	filo di seta/ trama broccata seta/ marezzatura seta/ laminata seta/ broccata in argento filo d'argento/ lavorazione a fuselli/ lamellatura filo dorato filo d'oro/ merletto a fuselli o tombolo seta/ broccata in oro seta/ tessuto/ broccatura	Biella (BI)	La tunicella è composta da due tessuti. Il primo è una seta laminata in argento con effetti marezzati, impiegato per le parti terminali delle maniche e per i fianchi e il bordo del corpo. Il secondo, utilizzato per le rimanenti parti è una seta con trame broccate su fondo crema che descrivono un motivo a grandi maglie ovali, naturalisticamente irregolari, formati da tralcetti, costituiti da motivi a puntini o a bastoncini, di foglie verdi e di, alternativamente, margherite e tulipani stilizzati, e comprendenti, all'interno, un fiore di peonia o di rosa in filo dorato e d'argento. Galloni di uniforme altezza in filo dorato a imitazione del pizzo	https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100011819-2	49.2	52.62	il tunicella essere comporre da due tessuto . il primo essere uno seta laminare in argento con effetto marezzato , impiegare per il parte terminale di il manica e per il fianco e il bordo di il corpo . il secondo , utilizzare per il rimanenti parte essere uno seta con trama broccato su fondo crema che descrivere uno motivo a grande maglia ovale , naturalisticamente irregolare , formare da tralcetti , costituire da motivo a puntino o a bastoncino , di foglia verde e di , alternativamente , margherita e tulipano stilizzato , e comprendente , a il interno , uno fiore di peonia o di rosa in filo dorato e di argento . gallono di uniforme altezza in filo dorato a imitazione di il pizzo	39
